marca,modelo,transmision,combustible,propulsion,cilindrada,carroceria,co2,ciudad,carretera,mixto
Audi,RS3 Sportback,A,Gasolina,Combustión,2.5,Hatchback,199,8.3,14.5,11.4
Audi,RS3 Sedan,A,Gasolina,Combustión,2.5,Sedán,198,8.3,14.7,11.5
Volkswagen,Jetta GLI 2.0 AT,A,Gasolina,Combustión,2.0,Sedán,160,10.9,17.5,14.3
BMW,M3 Sedan MT,M,Gasolina,Combustión,3.0,Sedán,231,7.3,12.5,9.9
BMW,M4 Coupe,M,Gasolina,Combustión,3.0,Coupé,231,7.3,12.5,9.9
Hyundai,Santa Fe TM 2.5 MPI 6AT 4WD E6,A,Gasolina,Combustión,2.5,Station Wagon,204,8.3,14.0,11.2
Hyundai,Santa Fe TM 2.5 MPI 6AT 2WD E6,A,Gasolina,Combustión,2.5,Station Wagon,197,8.5,14.6,11.5
DFLM,T5L 1.8T,M,Gasolina,Combustión,1.8,Station Wagon,185,9.6,15.4,12.7
DFM,T5L 1.8T,M,Gasolina,Combustión,1.8,Station Wagon,185,9.6,15.4,12.7
Peugeot,308 1.2 PureTech 130 EAT8,A,Gasolina,Combustión,1.2,Hatchback,120,16.5,20.9,19.0
Maxus,Euniq 6,A,N/A,Vehículo eléctrico,0.0,Station Wagon,-,-,-,-
M. Benz,B200 Station Wagon,A,Gasolina,Combustión,1.3,Station Wagon,131,13.9,20.8,17.5
Seat,Ibiza FL 1.0 TSI MT,M,Gasolina,Combustión,1.0,Hatchback,124,15.4,20.7,18.4
Mitsubishi,"Xpander Cross 1,5 Lts. Station Wagon 5P. AT 4x2",A,Gasolina,Combustión,1.5,Station Wagon,158,11.5,15.9,13.9
Mitsubishi,"Xpander 1,5 Lts. Station Wagon 5P. AT 4x2",A,Gasolina,Combustión,1.5,Station Wagon,158,11.5,15.9,13.9
Mitsubishi,Xpander 1.5 MT 4x2 GLX,M,Gasolina,Combustión,1.5,Station Wagon,157,11.5,16.7,14.3
BMW,330i Sedan,A,Gasolina,Combustión,2.0,Sedán,150,12.7,17.2,15.2
Subaru,WRX 2.4 CVT,A,Gasolina,Combustión,2.4,Sedán,192,8.9,14.3,11.8
Subaru,WRX Sport Wagon 2.4 CVT,A,Gasolina,Combustión,2.4,Station Wagon,192,8.9,14.3,11.8
Subaru,WRX 2.4 MT,M,Gasolina,Combustión,2.4,Sedán,228,7.3,12.8,10.0
Volvo,XC40 B5 AWD Ultimate,A,Gasolina/Híbrido,Vehículo Microhíbrido,2.0,Station Wagon,169,10.5,16.1,13.5
Volvo,XC40 B5 R-DESIGN,A,Gasolina/Híbrido,Vehículo Microhíbrido,2.0,Station Wagon,169,10.5,16.1,13.5
Citroen,E-Berlingo Electrico,A,N/A,Vehículo eléctrico,0.0,Furgón,-,-,-,-
Haval,Jolion HEV 1.5,A,Gasolina/Híbrido,Vehículos híbridos sin recarga exterior,1.5,Station Wagon,110,37.0,16.7,20.8
Kaiyi,X3 CVT,A,Gasolina,Combustión,1.5,Hatchback,174,10.3,16.7,13.6
Kaiyi,X3 Pro CVT,A,Gasolina,Combustión,1.5,Hatchback,174,10.3,16.7,13.6
Kaiyi,KYX3 CVT,A,Gasolina,Combustión,1.5,Hatchback,174,10.3,16.7,13.6
Kaiyi,KYX3 Pro CVT,A,Gasolina,Combustión,1.5,Hatchback,174,10.3,16.7,13.6
Maxus,Euniq 5,A,N/A,Vehículo eléctrico,0.0,Station Wagon,-,-,-,-
Honda,CR-V EXT,A,Gasolina,Combustión,1.5,Station Wagon,175,10.4,15.3,13.0
Honda,CR-V EXT S,A,Gasolina,Combustión,1.5,Station Wagon,175,10.4,15.3,13.0
